Name,Author,Year,Publication Name,DOI,Publication Year,Publication Type,Database,Marcellin,Pouya,Brian,Arnaud,Stones
Hybrid Nature-Inspired Based Oversampling and Feature Selection Approach for Imbalance Data Streams Classification,M. Arya; B. K. Dewangan; M. Verma; M. Rohini; A. Motwani; S. K. Sar,2023,2022 OPJU International Technology Conference on Emerging Technologies for Sustainable Development (OTCON),10.1109/OTCON56053.2023.10113972,2023,,IEEE Conferences,No,Yes,Yes,No,Yes
A new Algorithm based on the Gbest of Particle Swarm Optimization algorithm to improve Estimation of Distribution Algorithm,Q. Zhao; Y. Gao,2018,2018 International Conference on Smart Computing and Electronic Enterprise (ICSCEE),10.1109/ICSCEE.2018.8538372,2018,,IEEE Conferences,Yes,Yes,Yes,No,Yes
A Intelligent CNN-BiLSTM Approach for Chinese Sentiment Analysis on Spark,R. Cai; Q. Tao,2020,2020 IEEE 6th International Conference on Computer and Communications (ICCC),10.1109/ICCC51575.2020.9344910,2020,,IEEE Conferences,No,No,Yes,Yes,No
Communication Optimization Algorithms for Distributed Deep Learning Systems: A Survey,E. Yu; D. Dong; X. Liao,2023,IEEE Transactions on Parallel and Distributed Systems,10.1109/TPDS.2023.3323282,2023,,IEEE Journals,No,No,No,No,No
Parallel Optimization of Depth Learning Algorithm Based on Behavior Recognition,Y. Shi; B. Zhou; C. Li,2019,"2019 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",10.1109/ICITBS.2019.00164,2019,,IEEE Conferences,Yes,Yes,Yes,No,Yes
A Parameter-Optimized CNN Using WOA and Its Application in Fault Diagnosis of Bearing,Y. Cui; S. Zhang; Z. Zhang,2023,"2023 IEEE 2nd International Conference on Electrical Engineering, Big Data and Algorithms (EEBDA)",10.1109/EEBDA56825.2023.10090663,2023,,IEEE Conferences,No,No,No,Yes,No
Deep Neural Networks for traffic flow prediction,Hongsuk Yi; HeeJin Jung; Sanghoon Bae,2017,2017 IEEE International Conference on Big Data and Smart Computing (BigComp),10.1109/BIGCOMP.2017.7881687,2017,,IEEE Conferences,No,Yes,No,Yes,No
Online Aid For Detecting Brain Tumor And Tuberculosis Using Deep Learning,V. Mercy Rajaselvi Beaulah; U. Brinda; R. Adithya; S. Akshey,2021,"2021 International Conference on Forensics, Analytics, Big Data, Security (FABS)",10.1109/FABS52071.2021.9702602,2021,,IEEE Conferences,No,No,No,Yes,No
Improved Deep Neural Network for OFDM Signal Recognition Using Hybrid Grey Wolf Optimization,Y. Zhang; D. Liu; J. Liu; Y. Xian; X. Wang,2020,IEEE Access,10.1109/ACCESS.2020.3010589,2020,,IEEE Journals,Yes,Yes,Yes,Yes,Yes
Truck Traffic Speed Prediction Under Non-Recurrent Congestion: Based on Optimized Deep Learning Algorithms and GPS Data,J. Zhao; Y. Gao; Z. Yang; J. Li; Y. Feng; Z. Qin; Z. Bai,2019,IEEE Access,10.1109/ACCESS.2018.2890414,2019,,IEEE Journals,Yes,Yes,Yes,Yes,Yes
Deep Learning-Based Resource Allocation in UAV-RIS-Aided Cell-Free Hybrid NOMA/OMA Networks,C. Huang; G. Chen; Y. Wen; Z. Lin; Y. Xiao; P. Xiao,2023,GLOBECOM 2023 - 2023 IEEE Global Communications Conference,10.1109/GLOBECOM54140.2023.10437110,2023,,IEEE Conferences,No,No,No,Yes,No
An Efficient Cancer Classification Model Using Deep Neural Network with Arithmetic Optimization Algorithm-Based Optimal Gene Selection,S. G. B; S. Anu H Nair; K. P. Sanal Kumar; S. Kamalakkannan,2023,"2023 7th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",10.1109/ICECA58529.2023.10395446,2023,,IEEE Conferences,Yes,Yes,Yes,Yes,Yes
Optimizing Predictive Models and Streamlining Feature Selection Process In Oncology,K. Subrmanian; I. Faye; G. Thangarasu; K. N. Kannan,2024,2024 IEEE 14th Symposium on Computer Applications & Industrial Electronics (ISCAIE),10.1109/ISCAIE61308.2024.10576328,2024,,IEEE Conferences,No,Yes,No,Yes,No
A Convolutional Autoencoder Method for Simultaneous Seismic Data Reconstruction and Denoising,J. Jiang; H. Ren; M. Zhang,2022,IEEE Geoscience and Remote Sensing Letters,10.1109/LGRS.2021.3073560,2022,,IEEE Journals,No,Yes,Yes,No,Yes
PANDA: Population Automatic Neural Distributed Algorithm for Deep Leaning,J. Wei; X. Zhang; Z. Ji; J. Li; Z. Wei,2021,"2021 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)",10.1109/ISPA-BDCloud-SocialCom-SustainCom52081.2021.00187,2021,,IEEE Conferences,No,No,Yes,Yes,No
IoT Intrusion Detection System Using Deep Learning and Enhanced Transient Search Optimization,A. Fatani; M. Abd Elaziz; A. Dahou; M. A. A. Al-Qaness; S. Lu,2021,IEEE Access,10.1109/ACCESS.2021.3109081,2021,,IEEE Journals,No,No,Yes,Yes,No
