"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Learning and Big Data Integration with Cuckoo Search Optimization for Robust Phishing Attack Detection","B. B. Gupta; A. Gaurav; J. Wu; V. Arya; K. T. Chui","Department of Computer Science and Information Engineering, Asia University, Taichung, Taiwan; Ronin Institute, Montclair, NJ, USA; School of Artificial Intelligence, Guilin University of Electronic Technology, China; Asia University, Taichung, Taiwan; Hong Kong Metropolitan University (HKMU), Hong Kong",ICC 2024 - IEEE International Conference on Communications,"20 Aug 2024","2024","","","1322","1327","Currently, phishing attacks are posing great damage to the online community. As traditions, attack detection strategies are not effective against this new type of threat. Hence, there is a need for advanced attack detection techniques. In this context, this research proposed a hybrid deep learning and big data-based technique for phishing attack detection approach. Our proposed approach used Conv2d layers in sequence for analysis of the incoming traffic and predict its behavior. We used different parameters to measure our proposed approach. Through the use of the cuckoo optimization algorithm, the propsed approach achieves a high accuracy of 92%.","1938-1883","978-1-7281-9054-9","10.1109/ICC51166.2024.10622646","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10622646","Phishing Attack;Deep Learning;Big Data","Deep learning;Adaptation models;Accuracy;Phishing;Organizations;Prediction algorithms;Data models","","","","29","IEEE","20 Aug 2024","","","IEEE","IEEE Conferences"
"Intracranial Hemorrhage Detection using Deep Learning and Optimization Techniques","M. Balipa; P. P Kundapur; Adithya","Department of MCA, Nitte (Deemed to be University) NMAM Institute of Technology, Nitte, Karnataka, India; Department of DS and CA, Manipal Institute of Technology MAHE, Manipal, India; Department of MCA, Nitte (Deemed to be University) NMAM Institute of Technology, Nitte, Karnataka, India",2023 Third International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS),"29 Apr 2024","2023","","","483","489","Intracranial Hemorrhage (ICH) is a critical medical condition characterized by bleeding within the skull, specifically in the brain. Timely detection and accurate classification of ICH from computed tomography (CT) scan pictures are essential for successful treatment plan and improved patient outcomes. This study presents a novel approach for ICH detection using Deep Learning and Machine Learning techniques. A hybrid model is proposed, leveraging the power of ResN et50, a state-of-the-art deep learning architecture, together with different machine learning methods. The hybrid models include ResN et50 with Support Vector Machines(SVM), Artificial Neural Networks(ANN), ANN optimized using the Grasshopper Optimization Algorithm, and ANN optimized using the Genetic Optimization Algorithm. By harnessing the learned features of ResN et50 and the optimization capabilities of these algorithms, the models aim to accurately identify and classify hemorrhage patterns in CT scans. Experimental evaluations on a dataset of CT scan images demonstrate the superiority and efficacy of the proposed hybrid models in achieving high classification accuracy. The results highlight the potential of this approach for aiding clinicians in early diagnosis and treatment planning of ICH, thus contributing to improved patient care in cases of intracranial hemorrhage.","","979-8-3503-0698-9","10.1109/ICUIS60567.2023.00086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10505982","Intracranial Hemorrhage;Deep Learning;Machine Learning;ResNet50;Support Vector Machine (SVM);Artificial Neural Networks (ANN);Grasshopper Optimization Algorithm;Genetic Optimization Algorithm;Computed Tomography(CT) scans","Deep learning;Machine learning algorithms;Computed tomography;Genetics;Feature extraction;Vectors;Classification algorithms","","","","18","IEEE","29 Apr 2024","","","IEEE","IEEE Conferences"
"An Interpretation Method for Fault Diagnosis in Rolling Bearings: Integrating Whale Optimization Algorithm and SqueezeNet Model","W. Gu; Z. Zhu; W. Xu","College of Big Data and Information Engineering, Guizhou University, Guizhou, China; School of Mathematical Sciences, Beijing Normal University, Beijing, China; Faculty of Science and Technology, University of Macau, Macao, China","2023 IEEE International Conference on Electrical, Automation and Computer Engineering (ICEACE)","28 Feb 2024","2023","","","1403","1411","The bearing is a commonly encountered element in mechanical systems, and the adoption of a precise and efficient methodology for diagnosing bearing faults can greatly enhance the operational safety and stability of the system. This study introduces an innovative methodology to tackle the problem of diagnosing faults in bearing vibration signal features that are weak and pose challenges. The method proposed in this study entails the utilization of an enhanced SqueezeNet network, which exhibits the ability to interpret features for the purpose of detecting bearing faults in images. The initial aim is to perform preprocessing on the original vibration signal data acquired from the bearing. The process entails converting the initial signal in the time domain into a two-dimensional representation known as a time-frequency map. In order to replicate the noise conditions found in the real working environment, a deliberate introduction of a noise signal is performed during this transformation, with a signal-to-noise ratio varying between 10 and 20. Following a comprehensive comparative analysis of different deep learning models, the SqueezeNet model has been selected due to its exceptional antinoise capabilities and superior accuracy. The progressive grid method is utilized for the purpose of optimization, aiming to analyze the fluctuations in network accuracy. The objective of this study is to examine the relationship between network accuracy and changes in hyperparameters. The SqueezeNet model, which has undergone fine-tuning, is subsequently employed in combination with diverse swarm optimization algorithms. Based on a comparative analysis of the loss function iteration curves, the whale algorithm has been selected as the preferred optimization algorithm. The aforementioned algorithm is subsequently utilized within the framework of resolving the fault detection issue. The experiment also demonstrates the model's feature extraction process by employing the t-SNE visualization method. Furthermore, the utilization of class activation mapping is employed to analyze the time-frequency diagrams pertaining to the four identified faults observed in the bearings. The objective of this approach is to improve the comprehensibility of the model in its classification task and offer a graphical depiction of the model's attention towards different features. The performance of the method is evaluated by utilizing the bearing dataset obtained from Case Western Reserve University. The findings indicate that the approach exhibits a considerable degree of precision, approaching nearly 100%, in the identification of bearing abnormalities. This validation affirms the method's robust potential and feasibility for practical applications, emphasizing its superiority in fault diagnosis and adaptability to diverse application scenarios.","","979-8-3503-0961-4","10.1109/ICEACE60673.2023.10442005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10442005","bearing faults;SqueezeNet;t-SNE visualization method;WOA;class activation mapping","Fault diagnosis;Analytical models;Heuristic algorithms;Rolling bearings;Whales;Whale optimization algorithms;Optimization","","","","18","IEEE","28 Feb 2024","","","IEEE","IEEE Conferences"
"An Intrusion Detection Approach using Hierarchical Deep Learning-based Butterfly Optimization Algorithm in Big Data Platform","Manoranjithem; S. Dhanasekaran; A. Asokan; A. Kumar; C. Yamini; M. Tiwari","Department of CSE, Kalasalingam Academy of Research and Education, Tamilnadu, India; Department of IT, Kalasalingam Academy of Research and Education, Tamilnadu, India; Department of Computer and Communication Engineering, Sri Eshwar College of Engineering, Coimbatore, Tamilnadu, India; Faculty of Computer Applications, Manav Rachna International Institute of Research and Studies, Faridabad, Haryana, India; Department of Mathematics, PSNA College of Engineering and Technology, Dindigul, Tamilnadu, India; Department of Computer Science and Engineering, Bharati Vidyapeeth's College of Engineering, Delhi, India",2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),"1 Mar 2023","2023","","","212","216","In recent times, a massive count of data and their increase gradually changed the significance of data security and data analysis methods for Big Data. An intrusion detection system (IDS) is a scheme which analyzes and monitors data for detecting some intrusion from the system or network. Massive volume, variety, and maximum speed of data created in the network develop the data analysis procedure for detecting attacks with typical approaches highly complex. Big Data systems can be utilized in IDS for managing Big Data for accurate and effectual data analysis procedures. This study develops an Intrusion Detection Approach using Hierarchical Deep Learning-based Butterfly Optimization algorithm (ID-HDLBOA) in Big Data Platform. The presented ID-HDLBOA technique combines the concept of DL with hyperparameter tuning process. In the presented ID-HDLBOA technique, hierarchical LSTM model is provided for intrusion detection purposes. Finally, BOA is used as a hyperparameter tuning strategy for the LSTM model and it results in improvised detection efficiency. The experimental validation of the ID-HDLBOA technique is assessed on benchmark intrusion dataset and the model gives the accuracy value of 98%. Wide-ranging experiments were performed and the outcomes emphasized the supremacy of the ID-HDLBOA algorithm.","","978-1-6654-7451-1","10.1109/IDCIoT56793.2023.10053504","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053504","Deep learning;Big data;Security;Intrusion detection;Hyperparameter tuning","Data analysis;Intrusion detection;Big Data;Benchmark testing;Feature extraction;Classification algorithms;Internet of Things","","2","","17","IEEE","1 Mar 2023","","","IEEE","IEEE Conferences"
"Performance optimization algorithm for CRF layer of Chinese sequence labeling model based on deep learning","L. Zhu; Y. Zhang; Y. Dong; C. Cui","Engineering University of PAP, Xi’an, China; Shijiazhuang Division of PLAA Infantry College, Shijiazhuang, China; Joint Operations College, National Defense University, Shijiazhuang, China; China Mobile Chengdu Institute of Research and Development, Chengdu, China","2022 4th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)","22 May 2023","2022","","","279","285","The “deep learning model + CRF” model architecture such as Bi-LSTM-CRF has outstanding performance| in the tasks of part-of-speech tagging, named entity recognition, and semantic role tagging in the field of natural language processing, and has become the most popular algorithm for sequence tagging tasks. However, in practical applications, due to the strong fitting ability of the feature extractor in the deep learning model, the use efficiency of the CRF layer is relatively low; at the same time, the calculation cost of the CRF layer is relatively large. This paper proposes a performance optimization algorithm for the CRF layer in the sequence annotation task based on the deep learning model. The algorithm introduces five rules. First of all, the tag result of the feature extractor is checked by the five rules, if the adjacent tag is found to be logically incorrect, then use the CRF layer for logic correction. The experimental results show that the algorithm shows great advantages in the process of word segmentation, part-of-speech tagging and named entity recognition, a lot of computing time has been saved.","","979-8-3503-3394-7","10.1109/MLBDBI58171.2022.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125439","Sequence labeling;CRF;deep learning","Deep learning;Analytical models;Computational modeling;Tagging;Predictive models;Feature extraction;Prediction algorithms","","","","11","IEEE","22 May 2023","","","IEEE","IEEE Conferences"
"Revolution of the Indian Agricultural Landscape using Machine Learning and Big Data Techniques: A Systematic Review","J. K. Sondhi; T. Junankar; A. M. Nair","Department of Data Science, CHRIST( Deemed to be University), Pune, India; Department of Data Science, CHRIST( Deemed to be University), Pune, India; Department of Data Science, CHRIST( Deemed to be University), Pune, India","2022 4th International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)","28 Mar 2023","2022","","","724","727","The world of Big Data has been rapidly expanding into the domains of Engineering and Machine Learning. The biggest challenge in the Big Data landscape is the incompetence of processing vast amounts of data in a time-efficient manner. The agriculture domain has so long only relied on traditional method for yield prediction. This can be bettered by using novel Machine Learning techniques and innovative thinking. The study provides the review of most of the techniques already implemented in the ML, Big Data and Agriculture domain- traditional and modern- while focusing on highlighting the difference in accuracy between the traditional methods and the more advanced methods.","","978-1-6654-7436-8","10.1109/ICAC3N56670.2022.10074152","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10074152","Machine Learning;Big Data;Agriculture;Regression;Crop yield;Data Mining","Deep learning;Systematics;Neural networks;Crops;Process control;Production;Big Data","","","","13","IEEE","28 Mar 2023","","","IEEE","IEEE Conferences"
"Study on Deep Unsupervised Learning Optimization Algorithm Based on Cloud Computing","H. Yan; P. Yu; D. Long","Changchun Institute of Technology, Changchun, China; Changchun Institute of Technology, Changchun, China; Jilin Province Soft Science Research Institute, Changchun, China","2019 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)","21 Mar 2019","2019","","","679","681","Big data has already occupied a lot in the information society. The application of big data to intelligent agriculture is the core development direction for maximizing the utilization of agricultural data information, and the deep learning method can more effectively extract abstract information from big data and convert it into useful knowledge, thus supporting the development of intelligent agriculture from different dimensions. In this paper, a CNN-RNN model is constructed based on cloud computing technology, and the parallel neural network model divided by training set is adopted to design the batch gradient descent algorithm based on deep unsupervised learning and BP algorithm based on Map-Reduce. An experiment verifies the feasibility of deep unsupervised learning neural network based on cloud computing and verifies that the optimize algorithm proposed in this paper can better increase the training efficiency of neural network.","","978-1-7281-1307-4","10.1109/ICITBS.2019.00168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8669630","Neural network;deep learning;unsupervised learning;cloud computing;big data","Training;Big Data;Cloud computing;Neural networks;Unsupervised learning;Computational modeling;Data models","","14","","7","IEEE","21 Mar 2019","","","IEEE","IEEE Conferences"
"An Imbalanced Big Data Mining Framework for Improving Optimization Algorithms Performance","E. M. Hassib; A. I. El-Desouky; E. -S. M. El-Kenawy; S. M. El-Ghamrawy","Computer Engineering and Systems Department, Faculty of Engineering, Mansoura University, Mansoura, Egypt; Computer Engineering and Systems Department, Faculty of Engineering, Mansoura University, Mansoura, Egypt; Department of Computer and Systems Engineering, Delta Higher Institute for Engineering and Technology (DHIET), Mansoura, Egypt; Head of Communications and Computer Engineering Department, MISR Higher Institute for Engineering and Technology, Mansoura, Egypt",IEEE Access,"5 Dec 2019","2019","7","","170774","170795","Big data is an important factor almost in all nowadays technologies, such as, social media, smart cities, and internet of things. Most of standard classifiers tends to be trapped in local optima problem when dealing with such massive datasets. Hence, investigating new techniques for dealing with such massive data sets is required. This paper presents a novel imbalanced big data mining framework for improving optimization algorithms performance by eliminating the local optima problem consists of three main stages. Firstly, the preprocessing stage, which uses the LSH-SMOTE algorithm for solving the class imbalance problem, then it uses the LSH algorithm for hashing the data set instances into buckets. Secondly, the bucket search stage, which uses the GWO for training bidirectional recurrent neural network BRNN and searching for the global optimum in each bucket. Lastly, the final tournament winner stage, which uses the GWO+BRNN for finding the global optimum of the whole data set among all global optimums from all buckets. Our proposed framework LSHGWOBRNN has been tested over 9 data sets one of them is big data set in terms of AUC, MSE, against seven well-known machine-learning algorithms (Naive Bayes, Random Tree, Decision Table, and AdaBoostM1, WOA+MLP, GWO+MLP, and WOA+BRNN), then, we tested our algorithm over four well-known data sets against GWO+MLP, ACO+MLP, GA+MLP, PSO+MLP, PBIL+MLP, and ES+MLP in terms of classification accuracy and MSE. Our experimental results have proved that our proposed framework LSHGWOBRNN has provided high local optima avoidance, and higher accuracy, less complexity and overhead.","2169-3536","","10.1109/ACCESS.2019.2955983","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8913526","Grey wolf optimizer;neural network;big data mining;deep learning;imbalanced data sets;optimization","Big Data;Classification algorithms;Neurons;Data mining;Optimization;Deep learning;Social networking (online)","","39","","72","CCBY","26 Nov 2019","","","IEEE","IEEE Journals"
"A new Algorithm based on the Gbest of Particle Swarm Optimization algorithm to improve Estimation of Distribution Algorithm","Q. Zhao; Y. Gao","Computer science and education software institute Guangzhou University, China; Computer science and education software institute Guangzhou University, China",2018 International Conference on Smart Computing and Electronic Enterprise (ICSCEE),"18 Nov 2018","2018","","","1","5","In recent years, with the rise of artificial intelligence and deep learning, as an evolutionary algorithm based on probability model, estimation of distribution algorithm has been widely research and development. The estimation of distribution algorithm without the traditional genetic operation such as crossover and mutation, is a new kind of evolution model. As an algorithm based on probabilistic mode, the estimation of distribution algorithm establishes a probabilistic model describing the solution space of optimization problems. With the emergence for big data, the convergence of the algorithm and the requirements for solving precision are also increasing. This paper attempts to improve the distribution estimation algorithm. The optimal population of each iteration is found through the location update of each iteration of the Particle Swarm Optimization (PSO) algorithm. The simulation test was carried out with ten benchmark test function. The proposed algorithm was compared with the GA_EDA9improved genetic algorithm) and the basic distribution estimation (EDA) algorithm. Experimental results show that the new algorithm is superior to GA_EDA and basic EDA in terms of convergence and accuracy.","","978-1-5386-4838-4","10.1109/ICSCEE.2018.8538372","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8538372","Estimation of distribution algorithm;particle Swarm Optimization algorithm;simulation","Estimation;Sociology;Statistics;Particle swarm optimization;Optimization;Software algorithms;Simulation","","4","","18","IEEE","18 Nov 2018","","","IEEE","IEEE Conferences"
"Review on Analog Circuit Optimization Using Deep Learning Algorithm","A. A. Elwehili; D. B. Aissa","Microwave Electronics research laboratory, Faculty of Sciences of Tunis, Tunis El-Manar University, Tunis, Tunisia; Microwave Electronics research laboratory, Faculty of Sciences of Tunis, Tunis El-Manar University, Tunis, Tunisia",2023 22nd Mediterranean Microwave Symposium (MMS),"16 Feb 2024","2023","","","1","5","Within many circumstances, analog circuits are made up of intricate pairings of op-amps, resistors, capacitors, and several other fundamental electrical devices. Making anything as completely flawless, usable, or beneficial as feasible is known as optimization. Recent developments in very large-scale integration (VLSI) techniques have made it possible to create sophisticated integrated circuits and systems. When it comes to aspects and areas in wide variations, analog devices are a significant part of integrated systems. On the other hand, analog devices play an essential role in modern system architecture. In this article, we reviewed a wide range of different optimization approaches in deep learning (DL), analog circuit optimization, and its relevant applications. In addition, significant criteria such as efficiency, latency, performance, and accuracy are being considered when confirming the outcome. As a direct consequence of this, the efficiency of deep learning optimization for analog circuits may be evaluated.","2157-9830","979-8-3503-0847-1","10.1109/MMS59938.2023.10421610","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10421610","Analog circuit;deep learning;very large-scale integration (VLSI);efficiency;latency;performance;accuracy","Deep learning;Resistors;Systems architecture;Analog circuits;Very large scale integration;Microwave filters;Optimization","","","","30","IEEE","16 Feb 2024","","","IEEE","IEEE Conferences"
