Item Number,Paper Title,Summary,alpha_decision,alpha_rationale,beta_decision,beta_rationale,gamma_decision,gamma_rationale,delta_decision,delta_rationale,epsilon_decision,epsilon_rationale
2.0,A new Algorithm based on the Gbest of Particle Swarm Optimization algorithm to improve Estimation of Distribution Algorithm,Disagreement on applicability to deep learning in big data contexts.,No,"The study focuses on improving estimation algorithms and PSO techniques, which are generally used for optimization tasks. While it addresses optimization problems, the paper does not explicitly focus on deep learning or big data contexts.",Yes,"Sounds relevant, it's a numerical method, seems to be using some sort of big data",Yes,paper has distributed numerical aspect and optimization. It fits the scope of our review,Yes,Provides an improved estimation algorithm that enhances the rate of convergence to a solution in space of Big data in DL,No,Disagreement on applicability to deep learning in big data contexts.
3.0,A Intelligent CNN-BiLSTM Approach for Chinese Sentiment Analysis on Spark,Disagreement on relevance to numerical methods and distributed computing for deep learning.,Yes,"Focuses on deep learning methods (CNN-BiLSTM) for sentiment analysis in a Spark big data environment, addressing both deep learning and big data.",No,Seems to be just a simulation paper,No,"I read just the abstract, and it seems to be valid, but I am afraid that the body of the paper is only training and evaluation, this is why I recommended not to include. But I have no problem if colleagues feel that it should be included.  The paper  propose a parallel variant of particle swarm optimization algorithm, which can be iteratively calculated on the Spark distributed platform (big data technology).",Yes,"Proposes a new framework of algorithms to improve optimisation and efficiency, including a parallel form of a PSO algorithm",No,Disagreement on relevance to numerical methods and distributed computing for deep learning.
4.0,Parallel Optimization of Depth Learning Algorithm Based on Behavior Recognition,Disagreement on relevance to big data applications.,No,"introduces a method to enhance the parallel processing efficiency of deep learning algorithms used for behavior recognitionThe paper does not directly address big data characteristics or computational efficiency in deep learning for large datasets, which may be important for your criteria.
",Yes,I think this fits the scope of our study because it is focused on deep learning algorithms,Yes,the paper fits the scope of the review.,Yes,"Parallel computation improvement algorithm for DL, i.e. inherently dealing with Big Data",Yes,"It  fits the big data profile, optimization algorithm and DL algorithm"
5.0,A Parameter-Optimized CNN Using WOA and Its Application in Fault Diagnosis of Bearing,Disagreement on relevance to big data and numerical methods for deep learning.,No,"The study focuses on deep learning techniques for medical image analysis, but it does not explicitly address big data contexts. It primarily focuses on applications in medical imaging rather than broader big data analysis.",No,Seems to be just a simple implementation,No,the paper just train model not on big data,No,"No new insights, only utilises the algorithms. No mention of big data",Yes,It  fits the profile of optimization algorithm and DL algorithm
6.0,Deep Neural Networks for traffic flow prediction,Disagreement on relevance to numerical methods and big data applications.,Yes,"The study leverages deep neural networks for big data analysis in traffic prediction, handling substantial volumes of traffic data and aiming to optimize prediction accuracy and efficiency",No,I cannot say for sure if the study is big data related ,No,"Big No, I do not trust the work. Weird that authors contributions is that they used tensorflow the first time for this type of data",No,"No new insights, only utilises the algorithms. No mention of big data",No,Disagreement on relevance to numerical methods and big data applications.
7.0,Online Aid For Detecting Brain Tumor And Tuberculosis Using Deep Learning,Disagreement on relevance to numerical methods and big data applications.,No,"Focuses only on applying CNNs for processing extensive medical imaging datasets, aligning with big data contexts.",No,Not related to our objectives I think,No,This is just a simple application of deep learning. Does not fits the scope,No,"No new insights, only utilises the algorithms. No mention of big data",No,Disagreement on relevance to numerical methods and big data applications.
8.0,A Convolutional Autoencoder Method for Simultaneous Seismic Data Reconstruction and Denoising,Disagreement on relevance to big data applications.,Yes,"While the study focuses on deep learning (convolutional autoencoders), it does not explicitly discuss big data characteristics, although seismic data often involves large datasets. ",Yes,Looks super interesting and related ,Yes,"I initially say No because is a simple application of deep learning. But since it is on big seismic data, I agree with everyone to include in our review",Yes,"Although not clear, abstract details how the algorithm can be used to process large amount of seismic data quickly and intelligently",No,Disagreement on relevance to numerical methods and big data applications.
9.0,PANDA: Population Automatic Neural Distributed Algorithm for Deep Leaning,Disagreement on relevance to numerical methods for deep learning.,Yes,"The paper focuses on optimizing deep learning methods, specifically targeting the distributed training of large models, which is essential in big data contexts.",Yes,"Checks all the boxes, numerical method, deep learning and big data",Yes,I have read just the abstract and I do agree that it fits the scope. The paper proposes a distributed scheme for Deep learning hyperparameters search and optimization which can be applied to any type of data big,Yes,Provides an algorithm for improving the rate of searching for learning rates in computationally expensive and exhaustive DL scenarios,No,"Disagreement on relevance to numerical methods and big data applications.
"
10.0,IoT Intrusion Detection System Using Deep Learning and Enhanced Transient Search Optimization,Disagreement on relevance to numerical methods and big data applications.,Yes,"The study uses deep learning methods in IoT security, which involves handling large volumes of data, but its primary focus is not explicitly on big data.",Yes,"This sounds related to me. It is IOT which means velocity which means big data, it can also addresses volume.

It is heavily focused on CNNs which are related to deep learning and numerical methods.",No,this paper propose an efficient AI-based mechanism for intrusion detection systems in IoT systems which is just an application,No,Does not specifically mention the topics of big data and numerical methods,Yes,"It  fits the big data profile, optimization algorithm and DL algorithm"
11.0,An Adaptive Gradient Method with Differentiation Element in Deep Neural Networks,Disagreement on relevance to big data applications and distributed computing.,No,The paper focuses on deep learning numerical methods but does not explicitly address big data contexts.,No,no big data stuff discussed here,No,this is just a simple application of deep learning,Yes,"Adam is significant in DL - Propose new method for improving the rate of convergence of models. Also mentions large models that it was tested on, i.e. are Big Data related",No,Disagreement on relevance to numerical methods and big data applications.
