Name,Author,Year,Publication Name,DOI,Publication Year,Publication Type,Database
Deep Learning and Big Data Integration with Cuckoo Search Optimization for Robust Phishing Attack Detection,B. B. Gupta; A. Gaurav; J. Wu; V. Arya; K. T. Chui,2024,ICC 2024 - IEEE International Conference on Communications,10.1109/ICC51166.2024.10622646,2024,,IEEE Conferences
Intracranial Hemorrhage Detection using Deep Learning and Optimization Techniques,M. Balipa; P. P Kundapur; Adithya,2023,2023 Third International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS),10.1109/ICUIS60567.2023.00086,2023,,IEEE Conferences
An Interpretation Method for Fault Diagnosis in Rolling Bearings: Integrating Whale Optimization Algorithm and SqueezeNet Model,W. Gu; Z. Zhu; W. Xu,2023,"2023 IEEE International Conference on Electrical, Automation and Computer Engineering (ICEACE)",10.1109/ICEACE60673.2023.10442005,2023,,IEEE Conferences
An Intrusion Detection Approach using Hierarchical Deep Learning-based Butterfly Optimization Algorithm in Big Data Platform,Manoranjithem; S. Dhanasekaran; A. Asokan; A. Kumar; C. Yamini; M. Tiwari,2023,2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),10.1109/IDCIoT56793.2023.10053504,2023,,IEEE Conferences
Performance optimization algorithm for CRF layer of Chinese sequence labeling model based on deep learning,L. Zhu; Y. Zhang; Y. Dong; C. Cui,2022,"2022 4th International Conference on Machine Learning, Big Data and Business Intelligence (MLBDBI)",10.1109/MLBDBI58171.2022.00061,2022,,IEEE Conferences
Revolution of the Indian Agricultural Landscape using Machine Learning and Big Data Techniques: A Systematic Review,J. K. Sondhi; T. Junankar; A. M. Nair,2022,"2022 4th International Conference on Advances in Computing, Communication Control and Networking (ICAC3N)",10.1109/ICAC3N56670.2022.10074152,2022,,IEEE Conferences
Study on Deep Unsupervised Learning Optimization Algorithm Based on Cloud Computing,H. Yan; P. Yu; D. Long,2019,"2019 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",10.1109/ICITBS.2019.00168,2019,,IEEE Conferences
An Imbalanced Big Data Mining Framework for Improving Optimization Algorithms Performance,E. M. Hassib; A. I. El-Desouky; E. -S. M. El-Kenawy; S. M. El-Ghamrawy,2019,IEEE Access,10.1109/ACCESS.2019.2955983,2019,,IEEE Journals
A new Algorithm based on the Gbest of Particle Swarm Optimization algorithm to improve Estimation of Distribution Algorithm,Q. Zhao; Y. Gao,2018,2018 International Conference on Smart Computing and Electronic Enterprise (ICSCEE),10.1109/ICSCEE.2018.8538372,2018,,IEEE Conferences
Review on Analog Circuit Optimization Using Deep Learning Algorithm,A. A. Elwehili; D. B. Aissa,2023,2023 22nd Mediterranean Microwave Symposium (MMS),10.1109/MMS59938.2023.10421610,2023,,IEEE Conferences
Adaptive Deep Learning Model for Air Pollution Analysis Using Meteorological Big Data,S. Suganya; T. Meyyappan,2021,"2021 2nd International Conference on Communication, Computing and Industry 4.0 (C2I4)",10.1109/C2I454156.2021.9689298,2021,,IEEE Conferences
A Fully Streaming Big Data Framework for Cyber Security Based on Optimized Deep Learning Algorithm,N. Hussen; S. M. Elghamrawy; M. Salem; A. I. El-Desouky,2023,IEEE Access,10.1109/ACCESS.2023.3281893,2023,,IEEE Journals
A Intelligent CNN-BiLSTM Approach for Chinese Sentiment Analysis on Spark,R. Cai; Q. Tao,2020,2020 IEEE 6th International Conference on Computer and Communications (ICCC),10.1109/ICCC51575.2020.9344910,2020,,IEEE Conferences
Identification of Papilionidae Species in Yunnan Province Based on Deep Learning,M. Fan; Y. Lu; Q. Xu; H. Zhang; J. Chang; W. Deng,2022,"2022 7th International Conference on Image, Vision and Computing (ICIVC)",10.1109/ICIVC55077.2022.9886389,2022,,IEEE Conferences
Research on Bearing Fault Diagnosis Base on Deep Learning,W. Xu,2021,2021 4th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD51990.2021.9459073,2021,,IEEE Conferences
A Deep Learning H2O Framework for Emergency Prediction in Biomedical Big Data,A. S. Elsayad; A. I. E. Desouky; M. M. Salem; M. Badawy,2020,IEEE Access,10.1109/ACCESS.2020.2995790,2020,,IEEE Journals
Classification of Massive Data Sets Using a Revolutionary Grey Wolf Optimization Algorithm and a Deep Learning Model in a Cloud-Based Setting,P. Anandan; A. Manju; M. R. Reddy,2023,"2023 International Conference on Data Science, Agents & Artificial Intelligence (ICDSAAI)",10.1109/ICDSAAI59313.2023.10452437,2023,,IEEE Conferences
