id,Name,Author,Year,Publication Name,DOI,Publication Year,Database,Publication Type
1,DeepLoc: A Deep Neural Network-based Indoor Positioning Framework,S. Liu; Q. Ren; J. Li; H. Xu,2021,"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00255,2021,IEEE Conferences,
2,A Communication-Efficient Federated Learning Scheme for IoT-Based Traffic Forecasting,C. Zhang; L. Cui; S. Yu; J. J. Q. Yu,2022,IEEE Internet of Things Journal,10.1109/JIOT.2021.3132363,2022,IEEE Journals,
3,CT Image Classification of Pulmonary Nodules Based on Deep Transfer Learning and Inception-Res-V2,R. Wang,2023,2023 International Conference on Advances in Electrical Engineering and Computer Applications (AEECA),10.1109/AEECA59734.2023.00108,2023,IEEE Conferences,
4,Meta-WF: Meta-Learning-Based Few-Shot Wireless Impersonation Detection for Wi-Fi Networks,T. Li; Z. Hong; L. Liu; Z. Wen; L. Yu,2021,IEEE Communications Letters,10.1109/LCOMM.2021.3112518,2021,IEEE Journals,
5,Fault Diagnosis Method of Link Control System for Gravitational Wave Detection,A. Gao; S. Xu; Z. Zhao; H. Shang; R. Xu,2024,Journal of Systems Engineering and Electronics,10.23919/JSEE.2024.000048,2024,BIAI Journals,
6,Optimized deep CNN based prediction model for injury severity risk factor in automobile crashes,Mathew J.; Emmanuel M.,2020,International Journal of Advanced Science and Technology,,2020,Scopus,
7,Pragmatic Method Based on Intelligent Big Data Analytics to Prediction Air Pollution,Al_Janabi S.; Yaqoob A.; Mohammad M.,2020,Lecture Notes in Networks and Systems,10.1007/978-3-030-23672-4_8,2020,Scopus,
8,Multi disease-prediction framework using hybrid deep learning: an optimal prediction model,Ampavathi A.; Saradhi T.V.,2021,Computer Methods in Biomechanics and Biomedical Engineering,10.1080/10255842.2020.1869726,2021,Scopus,
9,WOA + BRNN: An imbalanced big data classification framework using Whale optimization and deep neural network,Hassib E.M.; El-Desouky A.I.; Labib L.M.; El-kenawy E.-S.M.,2020,Soft Computing,10.1007/s00500-019-03901-y,2020,Scopus,
10,Deep Convolutional Neural Network for Air Quality Prediction,Mao Y.; Lee S.,2019,Journal of Physics: Conference Series,10.1088/1742-6596/1302/3/032046,2019,Scopus,
