id,Name,Author,Year,Publication Name,DOI,Publication Year,Database,Publication Type,q1,q2,q3,q4,q5,q6,q7,final_decision,pdf_found,BibTex Reference
1,DeepLoc: A Deep Neural Network-based Indoor Positioning Framework,S. Liu; Q. Ren; J. Li; H. Xu,2021.0,"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00255,2021.0,IEEE Conferences,,1,1,1,1,1,1,1,1,1,"'@inproceedings{Liu20211735,
  title = {{{DeepLoc}}: {{A Deep Neural Network-based Indoor Positioning Framework}}},
  shorttitle = {{{DeepLoc}}},
  booktitle = {2021 {{IEEE}} 23rd {{Int Conf}} on {{High Performance Computing}} \& {{Communications}}; 7th {{Int Conf}} on {{Data Science}} \& {{Systems}}; 19th {{Int Conf}} on {{Smart City}}; 7th {{Int Conf}} on {{Dependability}} in {{Sensor}}, {{Cloud}} \& {{Big Data Systems}} \& {{Application}} ({{HPCC}}/{{DSS}}/{{SmartCity}}/{{DependSys}})},
  author = {Liu, Saining and Ren, Qianqian and Li, Jinbao and Xu, Hui},
  year = {2021},
  month = dec,
  pages = {1735--1740},
  doi = {10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00255},
  abstract = {The growing attention on location-based services has promoted the development of indoor localization studies. Existing techniques mainly use Received Signal Strength Indicator (RSSI) of wireless signals as location fingerprint. Inspired by deep learning techniques for signal processing, we propose a deep neural network-based framework (DeepLoc) to implement Wi-Fi fingerprint positioning. In order to improve localization performance, we further design a network division based optimization algorithm. We first adopt greedy algorithm to locate the user in a sub-area, and then reconstruct a smaller fingerprint database, which is fed into the training model. Finally, we evaluate the proposed framework. Experimental results show that DeepLoc can improve the localization accuracy efficiently and obtain better performance.},
  keywords = {deep learning,Deep learning,Fingerprint recognition,greedy algorithm,Greedy algorithms,Location awareness,positioning,Received signal strength indicator,Signal processing algorithms,sub-area,Training}
}"
2,A Communication-Efficient Federated Learning Scheme for IoT-Based Traffic Forecasting,C. Zhang; L. Cui; S. Yu; J. J. Q. Yu,2022.0,IEEE Internet of Things Journal,10.1109/JIOT.2021.3132363,2022.0,IEEE Journals,,1,1,1,1,1,1,1,1,1,"'@article{Zhang202211918,
  title = {A {{Communication-Efficient Federated Learning Scheme}} for {{IoT-Based Traffic Forecasting}}},
  author = {Zhang, Chenhan and Cui, Lei and Yu, Shui and Yu, James J. Q.},
  year = {2022},
  month = jul,
  journal = {IEEE Internet of Things Journal},
  volume = {9},
  number = {14},
  pages = {11918--11931},
  issn = {2327-4662, 2372-2541},
  doi = {10.1109/JIOT.2021.3132363},
  copyright = {https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html}
}"
5,Fault Diagnosis Method of Link Control System for Gravitational Wave Detection,A. Gao; S. Xu; Z. Zhao; H. Shang; R. Xu,2024.0,Journal of Systems Engineering and Electronics,10.23919/JSEE.2024.000048,2024.0,BIAI Journals,,1,1,1,1,1,1,1,1,1,"'@article{Gao2024922,
  title = {Fault {{Diagnosis Method}} of {{Link Control System}} for {{Gravitational Wave Detection}}},
  author = {Gao, Ai and Xu, Shengnan and Zhao, Zichen and Shang, Haibin and Xu, Rui},
  year = {2024},
  month = aug,
  journal = {Journal of Systems Engineering and Electronics},
  volume = {35},
  number = {4},
  pages = {922--931},
  issn = {1004-4132},
  doi = {10.23919/JSEE.2024.000048}
}"
8,Multi disease-prediction framework using hybrid deep learning: an optimal prediction model,Ampavathi A.; Saradhi T.V.,2021.0,Computer Methods in Biomechanics and Biomedical Engineering,10.1080/10255842.2020.1869726,2021.0,Scopus,,1,1,1,1,1,1,1,1,1,"'@article{Ampavathi20211146,
  title = {Multi Disease-Prediction Framework Using Hybrid Deep Learning: An Optimal Prediction Model},
  shorttitle = {Multi Disease-Prediction Framework Using Hybrid Deep Learning},
  author = {Ampavathi, Anusha and Saradhi, T. Vijaya},
  year = {2021},
  month = jul,
  journal = {Computer Methods in Biomechanics and Biomedical Engineering},
  volume = {24},
  number = {10},
  pages = {1146--1168},
  issn = {1025-5842, 1476-8259},
  doi = {10.1080/10255842.2020.1869726},
  langid = {english}
}"
9,WOA + BRNN: An imbalanced big data classification framework using Whale optimization and deep neural network,Hassib E.M.; El-Desouky A.I.; Labib L.M.; El-kenawy E.-S.M.,2020.0,Soft Computing,10.1007/s00500-019-03901-y,2020.0,Scopus,,1,1,1,1,1,1,1,1,1,"'@article{Hassib20205573,
  title = {{{WOA}} + {{BRNN}}: {{An}} Imbalanced Big Data Classification Framework Using {{Whale}} Optimization and Deep Neural Network},
  shorttitle = {{{WOA}} + {{BRNN}}},
  author = {Hassib, {\relax Eslam}. M. and {El-Desouky}, {\relax Ali}. I. and Labib, {\relax Labib}. M. and {El-kenawy}, El-Sayed M.},
  year = {2020},
  month = apr,
  journal = {Soft Computing},
  volume = {24},
  number = {8},
  pages = {5573--5592},
  issn = {1432-7643, 1433-7479},
  doi = {10.1007/s00500-019-03901-y},
  langid = {english}
}"
11,Effective Big Data Retrieval Using Deep Learning Modified Neural Networks,Prasanth T.; Gunasekaran M.,2019.0,Mobile Networks and Applications,10.1007/s11036-018-1204-y,2019.0,Scopus,,1,1,1,1,1,1,1,1,1,"'@article{Prasanth2019282,
  title = {Effective {{Big Data Retrieval Using Deep Learning Modified Neural Networks}}},
  author = {Prasanth, T. and Gunasekaran, M.},
  year = {2019},
  month = feb,
  journal = {Mobile Networks and Applications},
  volume = {24},
  number = {1},
  pages = {282--294},
  issn = {1383-469X, 1572-8153},
  doi = {10.1007/s11036-018-1204-y},
  langid = {english}
}"
12,SuperMeshing: Boosting the Mesh Density of Stress Field in Plane-Strain Problems Using Deep Learning Method,"Xu, HD; Nie, ZG; Xu, QF; Li, YG; Xie, FG; Liu, XJ",2023.0,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,10.1115/1.4054687,2023.0,WoS,,1,1,1,1,1,1,1,1,1,"'@article{Xu2023034501,
  title = {{{SuperMeshing}}: {{Boosting}} the {{Mesh Density}} of {{Stress Field}} in {{Plane-Strain Problems Using Deep Learning Method}}},
  shorttitle = {{{SuperMeshing}}},
  author = {Xu, Handing and Nie, Zhenguo and Xu, Qingfeng and Li, Yaguan and Xie, Fugui and Liu, Xin-Jun},
  year = {2023},
  month = jun,
  journal = {Journal of Computing and Information Science in Engineering},
  volume = {23},
  number = {3},
  pages = {034501},
  issn = {1530-9827, 1944-7078},
  doi = {10.1115/1.4054687},
  abstract = {Abstract             The increase of the spatial resolution in numerical computation always leads to a decrease in computing efficiency with respect to the constraint of mesh density. In response to this problem of the inability to perform numerical computation, we propose a novel method to boost the mesh-density in the finite element method (FEM) within 2D domains. Running on the von Mises stress fields of the 2D plane-strain problems computed by FEM, the proposed method utilizes a deep neural network named SMNet to learn a nonlinear mapping from low mesh-density to high mesh-density in stress fields and realizes the improvement of numerical computation accuracy and efficiency simultaneously. By introducing residual density blocks into SMNet, we can extract abundant local features and improve prediction capacity. The result indicates that SMNet can effectively increase the spatial resolution of stress fields under multiple scaling factors in mesh-density: 2 {\texttimes}, 3 {\texttimes}, and 4 {\texttimes}. Compared with the targets, the relative error of SMNet is 1.67\%, showing better performance than many other methods. SMNet can be generically used as an enhanced mesh-density boosting model of 2D physical fields for mesh-based numerical methods.},
  langid = {english}
}"
13,A Novel Resource Optimization Algorithm Based on Clustering and Improved Differential Evolution Strategy Under a Cloud Environment,"Zhou, Z; Li, FM; Yang, SQ",2021.0,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,10.1145/3462761,2021.0,WoS,,1,1,1,1,1,1,1,1,1,"'@article{Zhou20211,
  title = {A {{Novel Resource Optimization Algorithm Based}} on {{Clustering}} and {{Improved Differential Evolution Strategy Under}} a {{Cloud Environment}}},
  author = {Zhou, Zhou and Li, Fangmin and Yang, Shuiqiao},
  year = {2021},
  month = sep,
  journal = {ACM Transactions on Asian and Low-Resource Language Information Processing},
  volume = {20},
  number = {5},
  pages = {1--15},
  issn = {2375-4699, 2375-4702},
  doi = {10.1145/3462761},
  abstract = {Resource optimization algorithm based on clustering and improved differential evolution strategy, as a new global optimized algorithm, has wide applications in language translation, language processing, document understanding, cloud computing, and edge computing due to high efficiency. With the development of deep learning technology and the rise of big data, the resource optimization algorithm encounters a series of challenges, such as the workload imbalance and low resource utilization. To address the preceding problems, this study proposes a novel resource optimization algorithm based on clustering and an improved differential evolution strategy (Multi-objective Task Scheduling Strategy (MTSS)). Three indexes, namely task completion time, execution cost, and workload, of virtual machines are selected and used to build the fitness function of the MTSS algorithm. At the same time, the preprocessing state is set up to cluster according to the resource and task characteristics to reduce the magnitude of their matching scale. Moreover, to solve the workload imbalance among different resource sets, local resource tasks are reallocated using the Q-value method in the MTSS strategy to achieve workload balance of global resources and improve the resource utilization rate. Experiments are carried out to evaluate the effectiveness of the proposed algorithm. Results show that the proposed algorithm outperforms other algorithms in terms of task completion time, execution cost, and workload balancing.},
  langid = {english}
}"
17,Meta-Heuristic Optimization of LSTM-Based Deep Network for Boosting the Prediction of Monkeypox Cases,"Eid, MM; El-Kenawy, EM; Khodadadi, N; Mirjalili, S; Khodadadi, E; Abotaleb, M; Alharbi, AH; Abdelhamid, AA; Ibrahim, A; Amer, GM; Kadi, A; Khafaga, DS",2022.0,MATHEMATICS,10.3390/math10203845,2022.0,WoS,,1,1,1,1,1,1,1,1,1,"'@article{Eid20223845,
  title = {Meta-{{Heuristic Optimization}} of {{LSTM-Based Deep Network}} for {{Boosting}} the {{Prediction}} of {{Monkeypox Cases}}},
  author = {Eid, Marwa M. and {El-Kenawy}, El-Sayed M. and Khodadadi, Nima and Mirjalili, Seyedali and Khodadadi, Ehsaneh and Abotaleb, Mostafa and Alharbi, Amal H. and Abdelhamid, Abdelaziz A. and Ibrahim, Abdelhameed and Amer, Ghada M. and Kadi, Ammar and Khafaga, Doaa Sami},
  year = {2022},
  month = oct,
  journal = {Mathematics},
  volume = {10},
  number = {20},
  pages = {3845},
  issn = {2227-7390},
  doi = {10.3390/math10203845},
  abstract = {Recent technologies such as artificial intelligence, machine learning, and big data are essential for supporting healthcare monitoring systems, particularly for monitoring Monkeypox confirmed cases. Infected and uninfected cases around the world have contributed to a growing dataset, which is publicly available and can be used by artificial intelligence and machine learning to predict the confirmed cases of Monkeypox at an early stage. Motivated by this, we propose in this paper a new approach for accurate prediction of the Monkeypox confirmed cases based on an optimized Long Short-Term Memory (LSTM) deep network. To fine-tune the hyper-parameters of the LSTM-based deep network, we employed the Al-Biruni Earth Radius (BER) optimization algorithm; thus, the proposed approach is denoted by BER-LSTM. Experimental results show the effectiveness of the proposed approach when assessed using various evaluation criteria, such as Mean Bias Error, which is recorded as (0.06) using BER-LSTM. To prove the superiority of the proposed approach, six different machine learning models are included in the conducted experiments. In addition, four different optimization algorithms are considered for comparison purposes. The results of this comparison confirmed the superiority of the proposed approach. On the other hand, several statistical tests are applied to analyze the stability and significance of the proposed approach. These tests include one-way Analysis of Variance (ANOVA), Wilcoxon, and regression tests. The results of these tests emphasize the robustness, significance, and efficiency of the proposed approach.},
  copyright = {https://creativecommons.org/licenses/by/4.0/},
  langid = {english}
}"
18,Support Vector Regression Integrated with Fruit Fly Optimization Algorithm for River Flow Forecasting in Lake Urmia Basin,"Samadianfard, S; Jarhan, S; Salwana, E; Mosavi, A; Shamshirband, S; Akib, S",2019.0,WATER,10.3390/w11091934,2019.0,WoS,,1,1,1,1,1,1,1,1,1,"'@article{Samadianfard20191934,
  title = {Support {{Vector Regression Integrated}} with {{Fruit Fly Optimization Algorithm}} for {{River Flow Forecasting}} in {{Lake Urmia Basin}}},
  author = {Samadianfard, Saeed and Jarhan, Salar and Salwana, Ely and Mosavi, Amir and Shamshirband, Shahaboddin and Akib, Shatirah},
  year = {2019},
  month = sep,
  journal = {Water},
  volume = {11},
  number = {9},
  pages = {1934},
  issn = {2073-4441},
  doi = {10.3390/w11091934},
  abstract = {Advancement in river flow prediction systems can greatly empower the operational river management to make better decisions, practices, and policies. Machine learning methods recently have shown promising results in building accurate models for river flow prediction. This paper aims to identify models with higher accuracy, robustness, and generalization ability by inspecting the accuracy of a number of machine learning models. The proposed models for river flow include support vector regression (SVR), a hybrid of SVR with a fruit fly optimization algorithm (FOA) (so-called FOASVR), and an M5 model tree (M5). Additionally, the influence of periodicity ({$\pi$}) on the forecasting enactment was examined. To assess the performance of the proposed models, different statistical meters were implemented, including root mean squared error (RMSE), mean absolute error (MAE), correlation coefficient (R), and Bayesian information criterion (BIC). Results showed that the FOASVR with RMSE (4.36 and 6.33 m3/s), MAE (2.40 and 3.71 m3/s) and R (0.82 and 0.81) values had the best performance in forecasting river flows at Babarud and Vaniar stations, respectively. Also, regarding BIC parameters, Qt-1 and {$\pi$} were selected as parsimonious inputs for predicting river flow one month ahead. Overall findings indicated that, although both the FOASVR and M5 predicted the river flows in suitable accordance with observed river flows, the performance of the FOASVR was moderately better than the M5 and periodicity noticeably increased the performance of the models; consequently, FOASVR can be suggested as the most accurate method for forecasting river flows.},
  copyright = {https://creativecommons.org/licenses/by/4.0/},
  langid = {english}
}"
